S.No.,HSCode,Commodity,Unit,Jul  2021 (R),Jul  2022 (R),%Growth,Apr-Jul  2021 (R),Apr-Jul  2022 (R),%Growth
230.,30032000,"OTHER, CONTAINING ANTIBIOTICS",KGS  ,NaN,NaN,NaN,7.50,NaN,NaN
231.,30039011,MEDICANTS OF AYURVEDIC SYSTEM,KGS  ,0.63,0.58,-7.89,1.20,3.45,187.73
232.,30039021,MENTHOL CRYSTAL,KGS  ,NaN,NaN,NaN,NaN,0.03,NaN
233.,30039022,MLK OF MAGNESIA,KGS  ,10.39,NaN,NaN,10.39,NaN,NaN
234.,30039090,OTHER MEDICAMENTS NOT PUT UP IN MEASURED DOSES OR IN PACKING,KGS  ,NaN,NaN,NaN,2.07,NaN,NaN
235.,30041010,"PENICILLIN IN CAPSULES, INJECTIONS ETC.",KGS  ,NaN,NaN,NaN,NaN,0.03,NaN
236.,30041020,"AMPICILLINE IN CAPSULES, INJECTIONS ETC.",KGS  ,1.74,0.06,-96.32,29.64,1.48,-95.01
237.,30041030,"AMOXYCYLLIN IN CAPSULES, INJECTIONS ETC.",KGS  ,2.53,0.76,-70.05,36.38,12.85,-64.67
238.,30041050,"CLOXACILLIN IN CAPSULES, INJECTIONS ETC.",KGS  ,0.27,0.13,-52.94,0.27,1.48,444.12
239.,30041060,AMCLOS IN CAPSULES INJECTIONS ETC.,KGS  ,NaN,NaN,NaN,2.95,NaN,NaN
240.,30041070,STRPTMYCN AND ITS SLTS IN CPSLS INJCTNS ETC,KGS  ,NaN,NaN,NaN,0.32,NaN,NaN
241.,30041090,OTHER MDCMNTS CNTNG PENCLLNS/DRVTVS THROF WITH A PENCLLNC ACID STRCTR/STRPTMYCNS OR THEIR DERVATIVS PUT UP FOR RETALE SA,KGS  ,0.60,2.64,342.71,18.06,13.18,-27.03
242.,30042012,"CEPHALEXIN - FORMULATIONS THEREOF, IN CAPSULES ETC.",KGS  ,NaN,NaN,NaN,1.28,0.02,-98.67
243.,30042013,"CIPROFLOXACINE- IN CAPSUL,TBLTS FORM ETC",KGS  ,10.37,2.56,-75.35,36.14,17.86,-50.58
244.,30042019,OTHER CEPHALOSPORINS AND THEIR DERIVATIVES,KGS  ,18.26,14.31,-21.61,168.93,98.79,-41.52
245.,30042020,SULFONAMIDES AND COTRIMOXAZOLE,KGS  ,0.28,15.54,"5,530.07",15.89,22.80,43.54
246.,30042031,NORFLOXACIN,KGS  ,NaN,3.92,NaN,8.05,13.64,69.48
247.,30042033,CIPROFLOXACIN (FLUOROQUINOLONES),KGS  ,2.79,2.01,-27.99,21.66,16.13,-25.55
248.,30042034,OFLOXACIN,KGS  ,0.13,0.21,68.00,5.21,0.89,-82.90
249.,30042039,OTHER FLUOROQUINOLONES,KGS  ,0.48,0.64,32.02,6.58,12.72,93.16
250.,30042042,OXYTETRACYCLINE,KGS  ,NaN,6.50,NaN,8.52,16.07,88.56
251.,30042049,OTHER TETRACYCLINE,KGS  ,NaN,NaN,NaN,3.76,0.31,-91.85
252.,30042050,"CHLORMPHENICOL CAPSULES, INJECTIONS ETC.",KGS  ,NaN,NaN,NaN,2.17,1.21,-44.33
253.,30042061,"ERYTHROMYCIN IN CAPSULES,INJECTIONS, OINTMENTS ETC.",KGS  ,NaN,NaN,NaN,5.42,NaN,NaN
254.,30042062,ROXITHROMYCIN,KGS  ,NaN,NaN,NaN,0.09,0.19,100.00
255.,30042063,CLARITHROMYCIN,KGS  ,1.61,NaN,NaN,2.31,0.00,-99.83
256.,30042064,AZITHROMYCIN,KGS  ,7.12,NaN,NaN,49.66,13.99,-71.83
257.,30042069,OTHER MACROLIDE,KGS  ,4.03,0.78,-80.67,14.76,5.53,-62.53
258.,30042095,CLINDAMYCIN,KGS  ,0.16,0.01,-93.55,2.04,0.17,-91.79
259.,30042096,VANCOMYCIN,KGS  ,NaN,NaN,NaN,NaN,1.58,NaN
260.,30042097,POLYMYXIN B AND COLISTIN,KGS  ,NaN,NaN,NaN,NaN,0.33,NaN
261.,30042099,OTHR MEDICAMENT CONTAINING OTHR ANTIBIOTICAND PUT UP FOR RETAIL SALE,KGS  ,0.20,7.60,"3,643.84",41.83,53.63,28.23
262.,30043110,INSULIN INJECTION,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
263.,30043190,OTHER MEDICAMENTS CONTAINING INSULIN,KGS  ,NaN,0.16,NaN,NaN,0.17,NaN
264.,30043200,"MEDICAMENTS CONTAINING CORTICOSTEROID HORMONES, THEIR DERVATIVEANDSTRUCTURAL ANALG",KGS  ,15.54,4.86,-68.69,21.11,27.70,31.24
265.,30043912,PREDNISOLONE,KGS  ,NaN,1.82,NaN,1.12,3.21,186.52
266.,30043913,DEXAMETHASONE,KGS  ,NaN,1.38,NaN,1.63,2.06,26.29
267.,30043919,OTHER PROGESTOGEN AND OESTOGEN GROUP,KGS  ,0.68,0.04,-94.40,1.08,0.69,-36.11
268.,30043921,GONADOTROPHINS,KGS  ,0.07,0.74,916.44,0.87,2.13,144.99
269.,30043922,LUTEINISING HORMONE,KGS  ,0.12,NaN,NaN,0.12,NaN,NaN
270.,30043990,OTHER GONADOTROPHINS AND LUTEINISING HORMONE,KGS  ,2.01,1.26,-37.31,2.02,2.55,26.43
271.,30044910,ATROPIN AND SALTS THEREOF,KGS  ,NaN,NaN,NaN,NaN,0.00,NaN
272.,30044990,OTHER,KGS  ,0.39,NaN,NaN,0.41,0.43,3.66
273.,30045010,HEAMATINICS AND ERYTHROPOIETIN,KGS  ,3.48,0.19,-94.49,9.57,5.56,-41.89
274.,30045020,MINERAL AND PARENTERAL NUTRITIONAL SPPLMNTS/CONTNG CALSIUM SLTS WTH VTMN IN TABLTS ETC,KGS  ,NaN,1.53,NaN,10.96,4.68,-57.35
275.,30045031,"TABLETS,CAPSULES,SYRUP ETC OF VITAMIN A INCLD) EXCEPT SALVES OINIMNTS AND VACCINES",KGS  ,NaN,NaN,NaN,0.06,NaN,NaN
276.,30045032,PREPARATION OF VITAMIN B1AND B2ANDSALT THAEROF,KGS  ,3.81,0.63,-83.34,10.32,0.96,-90.67
277.,30045033,PREPARATION OF VITAMIN B9,KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
278.,30045034,PREPARATION OF VITAMIN B12,KGS  ,NaN,NaN,NaN,0.09,0.14,44.68
279.,30045035,"VITAMIN C IN TABLETS, SYRUP ETC SALVES OINTMENTS AND VA",KGS  ,0.60,NaN,NaN,6.45,0.68,-89.45
280.,30045036,"VITAMIN D IN TABLETS, CAPSULES, SYRUP ET",KGS  ,2.34,1.64,-29.89,2.46,1.83,-25.90
281.,30045037,"VITAMIN E IN CAPS.TABS,SYRUP ETC",KGS  ,NaN,NaN,NaN,0.10,NaN,NaN
282.,30045039,"OTHER AMINO ACID/ PROTEIN PREPN. WITH / WITHOUT VITAMINS,SPIRULINA AND THE LIKE.",KGS  ,5.49,6.07,10.66,140.05,38.02,-72.85
283.,30045090,OTHERS PUT UP FOR RETAIL SALE,KGS  ,10.72,8.49,-20.84,110.21,96.21,-12.70
284.,30049011,MEDICAMENTS OF AYURVEDIC SYSTEM,KGS  ,14.29,1.28,-91.04,57.45,14.70,-74.42
285.,30049013,MEDICAMENTS OF SIDDHA SYSTEM,KGS  ,NaN,NaN,NaN,NaN,0.01,NaN
286.,30049015,MEDICAMENTS OF BIO-CHEMIC SYSTEM,KGS  ,NaN,NaN,NaN,0.35,NaN,NaN
287.,30049021,ANTHELMINTICS AND PREPARATIONS THEREOF,KGS  ,0.28,14.80,"5,281.45",0.31,36.24,"11,626.54"
288.,30049022,METRONIDAZOLE-FORMULATIONS SINGLE AND IN COMBINATION WITH FURAZOLIDONE AND DILOXANIDE FUROATE.,KGS  ,18.65,11.94,-35.97,56.92,65.46,15.01
289.,30049025,DILUXAMIDE FUROATE,KGS  ,NaN,NaN,NaN,NaN,0.29,NaN
290.,30049026,SODIUM STIBOGLUCONATE,KGS  ,NaN,0.51,NaN,NaN,0.51,NaN
291.,30049029,OTHER ANTHELMINTICS DRUGS;ANTIAMOEBIC AND OTHER ANTIPROTOZOAL/ANTIFUNGAL DRUGS,KGS  ,10.07,43.81,334.96,39.47,58.88,49.15
292.,30049031,"PROMETHAZINE, CHLORPHENIRAMINE, ASTEMIZOLE AND CETEIRIZINE",KGS  ,6.28,NaN,NaN,13.02,3.89,-70.11
293.,30049032,"SODIUM BICARBONAT, MAGNSM HYDROXID, MAGNSMCARBONAT,MAGNSIUM TRISILICAT, ALUMINIUM HYDROXIDE GEL,MAGALDARAT",KGS  ,51.82,NaN,NaN,109.28,56.49,-48.31
294.,30049033,"CIMETIDINE, RANTIDINE, NIZATIDINE AND R ROXATIDINE",KGS  ,3.45,2.26,-34.43,9.70,2.26,-76.72
295.,30049034,OMEPRAZOLE AND LANSOPRAZOLE,KGS  ,30.31,15.55,-48.70,97.48,110.56,13.42
296.,30049035,"DICYCLOMINE, METOCLOPRAMIDE AND DEXAME THASONE AND ONDANSETRON",KGS  ,3.11,1.02,-67.08,13.84,13.42,-3.04
297.,30049036,CHENODIOL AND URSODIOL,KGS  ,NaN,NaN,NaN,NaN,0.01,NaN
298.,30049039,"OTHER ANTINISTANINICS ,ANTACIDS,ANTIULCER,ANTIEMITICS AND OTHER GASTOINTESTINAL DRUGS",KGS  ,51.06,27.26,-46.61,187.49,143.62,-23.40
299.,30049041,CYCLOPHOSPHAMIDE,KGS  ,0.07,NaN,NaN,0.07,0.07,6.15
300.,30049042,"METHOTREXATE, 5-FLUOROURACIL(5-FU) AND FTORAFUR",KGS  ,NaN,NaN,NaN,NaN,0.43,NaN
301.,30049043,BINCRISTINE AND VINBLASTINE,KGS  ,NaN,NaN,NaN,0.01,0.19,"2,983.33"
302.,30049044,PACLITAXEL AND DOCETAXEL,KGS  ,NaN,0.01,NaN,NaN,0.07,NaN
303.,30049046,ACTINOMYCIN D DACTINOMYCIN AND DOXORUBICIN,KGS  ,0.02,NaN,NaN,0.02,0.02,11.76
304.,30049047,"L-ASPARAGINASE, CISPLATIN AND CARBOPLATIN",KGS  ,0.20,0.03,-87.56,0.26,0.44,73.05
305.,30049048,TAMOXIFEN,KGS  ,NaN,NaN,NaN,NaN,0.01,NaN
306.,30049049,OTHER ANTICANCER DRUGS,KGS  ,0.02,1.14,"5,342.86",0.73,2.63,258.53
307.,30049051,ISONIAZID,KGS  ,NaN,NaN,NaN,0.11,NaN,NaN
308.,30049052,RIFAMPICIN,KGS  ,NaN,0.07,NaN,0.96,0.23,-76.35
309.,30049053,PYRAZINAMIDE AND ETHAMBUTOL,KGS  ,NaN,NaN,NaN,0.31,NaN,NaN
310.,30049056,"CHLOROQUINE, AMODIAQUINE, MEFLOQUINE, QUININE, CHLOROGUAMIDE, PYRIMETHAMINE",KGS  ,NaN,NaN,NaN,3.38,2.30,-31.96
311.,30049057,OTHER ANTITUBERCULAR DRUGS,KGS  ,NaN,NaN,NaN,13.05,NaN,NaN
312.,30049059,OTHER ANTIMALARIAL DRUGS,KGS  ,NaN,NaN,NaN,0.11,0.01,-93.75
313.,30049061,ANALGIN WITH OR WITHOUT OTHER COMPOUNDS SUCH AS PARACETAMOL,KGS  ,8.01,0.41,-94.90,23.61,24.88,5.35
314.,30049062,ACETYL SALICYLIC ACID (ASPIRIN) AND FORMULATIONS THEREOF,KGS  ,NaN,2.56,NaN,7.35,29.14,296.68
315.,30049063,IBUPROFEN WITH OR WITHOUT PARACETAMOL OR OTHER COMPOUNDS,KGS  ,NaN,11.78,NaN,14.29,33.88,137.07
316.,30049066,"MEPHENAMIC ACID, DACTOFENAC SODIUM, PIROXICAM, TENOXICAM AND MELOXICAM",KGS  ,1.35,1.28,-5.03,14.14,12.95,-8.44
317.,30049067,"KETOROLAC, NIMESULIDE, NABUMETONE AND NEFOPAM",KGS  ,NaN,0.77,NaN,2.43,2.31,-4.91
318.,30049069,"OTHER NONSTEROIDAL ANTIINFLAMATORY, ANALGESTICS AND ANTIPYRATIC DRUGS",KGS  ,19.13,101.33,429.63,248.80,370.97,49.10
319.,30049071,"CAPTOPRIL, ENALAPRIL, LISINOPRIL, PERINDOPRIL AND RAMIPRIL",KGS  ,NaN,NaN,NaN,0.26,0.01,-98.05
320.,30049072,"VERAPAMIL, NIFEDIPINE, AMLODIPINE AND LACIDIPINE",KGS  ,NaN,0.33,NaN,0.33,0.85,159.94
321.,30049073,LOSARTAN,KGS  ,NaN,0.57,NaN,0.17,0.73,320.81
322.,30049074,"PROPRANOLOL, METOPROLOL, ATENOLOL AND LABETALOL",KGS  ,NaN,0.10,NaN,NaN,0.20,NaN
323.,30049077,"HYDRALAZINE, MINOXIDIL AND DIAZOXIDE",KGS  ,NaN,NaN,NaN,3.06,NaN,NaN
324.,30049079,OTHER ANTIHYPERTENSIVE DRUGS,KGS  ,1.64,0.88,-46.22,28.76,14.59,-49.26
325.,30049081,"PHENOBARBITONE,MEPHOBARBITONE,PRIMIDONE, PHENYTOIN,CARBAMAZPIN,ETHOSUCIMID, VALPORICACID ,DIAZEPA,LAMOTRIGIN,GAB",KGS  ,1.07,5.72,433.40,3.37,6.03,79.05
326.,30049082,OTHER ANTIEPILEPTIC DRUGS,KGS  ,NaN,0.24,NaN,1.27,1.58,24.63
327.,30049084,PREPARATIONS OF ENZYMES,KGS  ,NaN,NaN,NaN,0.45,0.32,-28.64
328.,30049085,VETERINARY MEDICINAL PREPARATIONS N.E.S.,KGS  ,7.43,28.14,278.95,48.23,61.65,27.82
329.,30049086,ORAL REHYDRATION SALTS,KGS  ,21.43,23.18,8.17,21.43,23.18,8.17
330.,30049087,"ANTIBACTERIAL FORMULATIONS, N.E.S.",KGS  ,NaN,15.66,NaN,22.22,26.75,20.37
331.,30049088,SEDATIVES,KGS  ,NaN,0.01,NaN,1.15,0.01,-98.96
332.,30049089,TRANQUILIZERS,KGS  ,NaN,0.05,NaN,NaN,6.45,NaN
333.,30049091,"SALBUTAMOL, TERBUTALINE, EPHEDRINE, SALMETEROL AND METHYL XANTHIMES",KGS  ,3.99,NaN,NaN,21.65,0.26,-98.82
334.,30049093,"CHLOROPHENIRAMINE MALEATE, WITH OR WITHOUTOTHER COMPOUNDS (EXCL. STERIODSAND ALKALOIDS)",KGS  ,2.00,NaN,NaN,3.13,NaN,NaN
335.,30049094,"THEOPHYLLINE, AMINOPHYLLINE AND OTHER BRONCHO DILATORS",KGS  ,NaN,NaN,NaN,0.29,0.00,-98.95
336.,30049095,CARCINO-CHEMOTHERAPEUTIC DRUGS N.E.S.,KGS  ,NaN,NaN,NaN,0.24,0.01,-95.44
337.,30049099,OTHER MEDCNE PUT UP FOR RETAIL SALE N.E.S,KGS  ,323.34,207.55,-35.81,"1,207.94",704.60,-41.67
338.,30051090,OTHER ADHESIVE DRSSNGS AND OTHR ARTCLS HAVING AN ADHESIVE LAYER,KGS  ,NaN,0.05,NaN,0.45,0.05,-89.53
339.,30059090,OTHER DRESSING ARTICLES N.E.S.,KGS  ,0.15,NaN,NaN,0.19,3.07,"1,561.62"
340.,30062000,*BLOOD-GROUPING REAGENTS,KGS  ,NaN,NaN,NaN,0.31,NaN,NaN
341.,30064000,DENTAL CEMENTS AND OTHR DENTAL FILLINGS BONE RECONSTRUCTION CEMENTS,KGS  ,0.05,NaN,NaN,0.11,0.04,-59.63
342.,30066010,CONTRACEPTIVE BASED ON HORMONES,KGS  ,NaN,0.01,NaN,0.78,5.51,610.05
343.,30066020,CONTRCEPTIV BASE ON OTHR PROD.OF HDNG 2937,KGS  ,NaN,0.26,NaN,0.65,0.42,-35.59
344.,30067000,GEL PREP TO BE USED IN HUMAN OR VETERINARYMEDICINE AS A LUBRICANT FOR PARTS OF BODYFOR SURGI OPER/PHYS EX,KGS  ,NaN,0.01,NaN,NaN,0.01,NaN
345.,31010099,"OTHER ANML/VGTBL FRTLSRS,W/N MIXED TOGETH.CHMCLY TRTD;FERTILISERS PRDCD BY THE MXNG/CHMCL TREATMNT OF ANML/VEGTBL PRDCTS",KGS  ,NaN,NaN,NaN,0.63,NaN,NaN
346.,32041119,OTHER DISPERSE YELOW,KGS  ,NaN,NaN,NaN,1.02,NaN,NaN
347.,32041139,OTHER DISPERSE RED,KGS  ,NaN,NaN,NaN,NaN,1.00,NaN
348.,32041211,ACID YELLOWS(AZO),KGS  ,NaN,NaN,NaN,0.05,3.00,"5,900.00"
349.,32041212,ACID ORANGES(AZO),KGS  ,NaN,2.00,NaN,10.10,11.25,11.39
350.,32041213,ACID RED(AZO),KGS  ,NaN,NaN,NaN,7.25,NaN,NaN
351.,32041219,OTHER AZO DYES,KGS  ,NaN,NaN,NaN,1.25,NaN,NaN
352.,32041229,"OTHER ACID GREEN,(NON-AZO)",KGS  ,0.03,NaN,NaN,0.03,NaN,NaN
353.,32041231,ACID BLACK 2(NIGROSINE),KGS  ,0.13,NaN,NaN,0.13,NaN,NaN
354.,32041259,OTHERS ACID BLUE (NON-AZO),KGS  ,0.15,NaN,NaN,0.15,NaN,NaN
355.,32041291,ACID YELLOWS(NON AZO),KGS  ,0.08,NaN,NaN,0.08,NaN,NaN
356.,32041292,ACID ORANGES(NON AZO),KGS  ,0.03,NaN,NaN,0.03,NaN,NaN
357.,32041293,ACID RED(NON AZO),KGS  ,0.18,NaN,NaN,0.18,NaN,NaN
358.,32041295,ACID BROWNS(NON AZO),KGS  ,0.05,NaN,NaN,0.05,NaN,NaN
359.,32041321,BASIC YELLOW 2 (AURAMINE O) NON AZO,KGS  ,NaN,NaN,NaN,8.00,1.25,-84.38
360.,32041342,BASIC VIOLET 10 (RHODAMINE B)-NON AZO,KGS  ,NaN,NaN,NaN,0.13,0.25,100.00
361.,32041349,OTHER BASIC VIOLET (NON-AZO),KGS  ,NaN,NaN,NaN,0.03,NaN,NaN
362.,32041361,BASIC GREEN 4 (MALACHITE GREEN)-NON-AZO,KGS  ,NaN,NaN,NaN,0.10,NaN,NaN
363.,32041485,DIRECT (NON AZO) BLUES,KGS  ,NaN,NaN,NaN,NaN,0.25,NaN
364.,32041519,OTHER VAT YELLOW,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
365.,32041558,REDUCED VAT BLUES,KGS  ,0.13,NaN,NaN,0.13,NaN,NaN
366.,32041561,VAT GREEN 1(INDANTHRENE BRILL GREEN BFFB),KGS  ,NaN,NaN,NaN,0.10,NaN,NaN
367.,32041680,REACTIVE BLACKS,KGS  ,NaN,NaN,NaN,NaN,0.25,NaN
368.,32041971,SOLVENT BASED COLOURING MATTERS: YELLOWS,KGS  ,NaN,0.50,NaN,NaN,0.50,NaN
369.,32041972,SOLVENT BASED COLOURING MATTERS: ORANGES,KGS  ,NaN,NaN,NaN,0.25,NaN,NaN
370.,32041973,SOLVENT BASED COLOURING MATTERS: REDS,KGS  ,NaN,0.50,NaN,0.25,0.50,100.00
371.,32041981,FOOD COLOURING YELLOW 3 (SUNSET YELLOW),KGS  ,0.05,5.75,"11,400.00",3.10,14.75,375.81
372.,32041982,FOOD COLOURING YELLOW 4 (TARTRAZINE),KGS  ,NaN,18.15,NaN,13.55,24.40,80.07
373.,32041983,FOOD COLOURING REDS 5 TO 8 (PONCEAN),KGS  ,NaN,NaN,NaN,2.38,2.00,-15.79
374.,32041984,FOOD COLOURING RED 9 (AMARANTH),KGS  ,NaN,0.50,NaN,NaN,0.75,NaN
375.,32041988,FOOD COLOURING BROWNS,KGS  ,NaN,1.00,NaN,1.50,1.00,-33.33
376.,32041989,OTHER FOOD COLOURING,KGS  ,0.01,3.00,"29,900.00",1.91,3.25,70.16
377.,32041990,OTHR INCL MIXR OF COLRNG MATR OF TWO OR MORE OF SUB-HDNG 320411 TO 320419 N.E.S.,KGS  ,4.20,NaN,NaN,5.70,4.25,-25.44
378.,32049000,OTHR SYNTHETIC ORGANIC COLORNG MATTER,KGS  ,NaN,NaN,NaN,3.00,NaN,NaN
379.,32050000,COLR LAKES,KGS  ,NaN,1.30,NaN,0.70,1.30,85.71
380.,32064990,OTHER PREPARATIONS,KGS  ,0.03,NaN,NaN,0.03,NaN,NaN
381.,32082090,OTHR PAINT VRNSH BSD ON ACRYLC/VNYL PLYMR,KGS  ,11.94,NaN,NaN,25.01,NaN,NaN
382.,32089011,NITROCELLULOSE LACQUERS BASED ON CELLULOSEOR OYHER CELLULOSE DERIVATIVES,KGS  ,NaN,NaN,NaN,19.44,NaN,NaN
383.,32089090,OTHR PAINT VARNSH(INCL ENML AND LACQR) BSD ON SYNTIC PLYMR/CHMLY MDFD NATRL PLYMR NES,KGS  ,NaN,NaN,NaN,0.76,NaN,NaN
384.,32099090,OTHR PAINT VARNSHS (INCL ENML AND LAQURS) BSD ON OTHR SYNTHTIC POLYMERS ETC N.E.S.;,KGS  ,NaN,NaN,NaN,0.04,NaN,NaN
385.,32151110,BLACK LITHOGRAPHIC INK AND JELLY,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
386.,32151910,OTHER LITHOGRAPHIC INK AND JELLY,KGS  ,NaN,NaN,NaN,0.12,NaN,NaN
387.,33011200,ESSENTIAL OILS OF ORANGE,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
388.,33012400,ESSNTL OIL OF PEPPERMINT(MENTHA PIPERITA),KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
389.,33012916,CEDARWOOD OIL,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
390.,33012918,CINNAMON LEAF OIL,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
391.,33012942,LEMON GRASS OIL,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
392.,33012990,OTHERS,KGS  ,NaN,NaN,NaN,0.01,NaN,NaN
393.,33021010,SYNTHETIC FLAVOURING ESSENCES,KGS  ,0.23,NaN,NaN,0.43,NaN,NaN
394.,33021090,OTHER MXTR OF ODORFRS SBSTNS OF A KIND USDKIND USD IN FOOD/DRINK INDUSTRIES,KGS  ,NaN,NaN,NaN,0.82,NaN,NaN
395.,33029011,SYNTHETIC PERFUMERY COMPOUNDS,KGS  ,NaN,NaN,NaN,8.00,0.31,-96.18
396.,33029090,OTHER MIXTRS OF ODORIFRS SUBSTNS N.E.S.,KGS  ,NaN,NaN,NaN,1.20,NaN,NaN
397.,33030010,EAU-DE-COLOGNE,KGS  ,NaN,NaN,NaN,3.94,NaN,NaN
398.,33030020,ROSE WATER,KGS  ,0.01,NaN,NaN,0.01,NaN,NaN
399.,33030050,PERFMES CONTNG SPIRIT FOR RETAIL SALE,KGS  ,NaN,NaN,NaN,0.02,NaN,NaN
400.,33030090,OTHER PERFUME AND TOILET WATERS,KGS  ,NaN,NaN,NaN,1.36,NaN,NaN
401.,33041000,LIP MAKE UP PREPARATIONS,KGS  ,NaN,NaN,NaN,0.01,1.45,"11,975.00"
402.,33042000,EYE MAKE UP PREPARATIONS,KGS  ,0.10,NaN,NaN,0.28,NaN,NaN
403.,33049110,POWDER FACE,KGS  ,14.39,NaN,NaN,14.45,NaN,NaN
404.,33049120,POWDER TALCUM,KGS  ,0.01,NaN,NaN,30.33,NaN,NaN
405.,33049190,OTHER POWDERS WHETHER OR NOT COMPRESSED,KGS  ,0.08,NaN,NaN,0.08,NaN,NaN
406.,33049910,CREAMS FACE (EXCL TURMARIC),KGS  ,3.67,7.95,116.68,15.67,41.19,162.86
407.,33049930,MOISTURISING LOTION,KGS  ,2.86,NaN,NaN,3.68,NaN,NaN
408.,33049940,"SINDUR,BINDI,KUMKUM",KGS  ,2.20,NaN,NaN,7.88,2.37,-69.96
409.,33049990,OTHERS,KGS  ,1.35,0.08,-94.20,9.95,1.50,-84.94
410.,33051090,HAIR SHAMPOOS (NON-SPIRITUOUS),KGS  ,17.32,15.58,-10.06,95.53,29.88,-68.72
411.,33059011,PERFUMED HAIR OIL,KGS  ,22.15,37.41,68.92,48.57,42.82,-11.83
412.,33059019,OTHER HAIR OIL,KGS  ,0.01,NaN,NaN,0.16,0.00,-99.39
413.,33059030,HAIR CREAM,KGS  ,1.10,NaN,NaN,1.10,NaN,NaN
414.,33059040,"HAIR DYES ( NATURAL,HERBAL 0R SYNTHETIC )",KGS  ,3.44,13.20,283.50,35.25,55.34,57.02
415.,33059090,OTHR PRPNS FOR USE ON HAIR N.E.S.,KGS  ,0.00,NaN,NaN,9.60,6.28,-34.58
416.,33061010,TOOTH POWDER,KGS  ,0.01,NaN,NaN,0.01,0.08,"1,460.00"
417.,33061020,TOOTH PASTE,KGS  ,0.07,NaN,NaN,0.31,NaN,NaN
418.,33071090,OTHER PRE OR AFTER SHAVE PREPNS,KGS  ,NaN,NaN,NaN,0.00,NaN,NaN
419.,33072000,PERSONL DEODORNTS AND ANTIPERSPIRANTS,KGS  ,5.42,NaN,NaN,8.76,NaN,NaN
420.,33073090,OTHR PERFUMD BATH SALTS AND OTHR BATH PRPN,KGS  ,NaN,0.01,NaN,NaN,0.01,NaN
421.,33074100,AGARBATTI AND OTHR ODORIFEROUS PRPNS WHICHOPERATE BY BURNIN,KGS  ,NaN,NaN,NaN,NaN,0.44,NaN
422.,33074900,OTHER ODORIFEROUS PRPNS USD FOR DEODORIZING ROOM (EXCL AGARBATTI),KGS  ,NaN,NaN,NaN,1.08,1.33,23.52
423.,33079010,"DEPILATORIES(SOAP,OTHER HAIR REMOVING SUBSTANCES)",KGS  ,0.00,NaN,NaN,10.92,NaN,NaN
424.,33079090,OTHER COSMETIC AND TOILT PRPN N E S,KGS  ,NaN,NaN,NaN,1.25,0.05,-96.41
425.,34011110,MEDICATED SOAPS,KGS  ,0.92,NaN,NaN,6.89,1.08,-84.39
426.,34011190,OTHR SOAP AND ORGNC SURFACE ACTIVE PRODUCTFOR TIOLET USE (INCL MEDICATED PRDCTS),KGS  ,NaN,1.47,NaN,1.18,17.35,"1,375.43"
427.,34011919,OTHER BARS AND BLOCKS > 500 GM IN WEIGHT,KGS  ,1.74,0.02,-99.02,1.74,0.34,-80.48
428.,34011990,OTHER HOUSEHOLD AND LAUNDRY SOAPS NES,KGS  ,0.00,NaN,NaN,0.06,0.43,669.64
429.,34012000,SOAP IN OTHER FORMS,KGS  ,0.03,NaN,NaN,0.03,NaN,NaN
430.,34013090,OTHER ORGANIC SURFACE-ACTIVE PRODUCT NES,KGS  ,0.02,0.10,354.55,3.73,0.82,-77.99
431.,34021300,*NON-IONIC W/N FOR RTL SALE,KGS  ,0.05,NaN,NaN,0.45,NaN,NaN
432.,34021900,*OTHR ORNGC SRFCE-ACTV AGNTS W/N FOR RTL SL,KGS  ,0.30,NaN,NaN,2.30,NaN,NaN
433.,34022010,*WASHING AND CLEANING PREPARATIONS HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE,KGS  ,NaN,NaN,NaN,1.05,NaN,NaN
434.,34022020,*CLEANING OR DEGREASING PREPN NOT HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE,KGS  ,NaN,NaN,NaN,0.07,NaN,NaN
435.,34029019,OTHER (SYNTHETIC DETERGENTS),KGS  ,NaN,NaN,NaN,NaN,19.82,NaN
436.,34029091,WASHING AND CLEANING PREPARATIONS HAVING BASIS OF SOAP/OTHER ORGANIC SURFACE ACTIVE(OTHER PREPARATIONS),KGS  ,NaN,NaN,NaN,NaN,NaN,NaN
437.,34029099,OTHER (OTHER PREPARATIONS) NES,KGS  ,NaN,NaN,NaN,0.20,0.63,215.00
438.,34039900,OTHER LUBRICTNG PREPARATIONS,KGS  ,NaN,0.01,NaN,NaN,0.01,NaN
439.,35051090,OTHER DEXTRINS AND OTHER MODIFIED STARCHES,KGS  ,0.30,0.25,-16.67,0.30,0.25,-16.67
440.,35061000,PRDCTS FOR USE AS GLUES/ADHSVS PUT UP FOR RETL SALE AS GLUES/ADHSVS NT EXCDNG 1 KG,KGS  ,0.18,NaN,NaN,0.18,NaN,NaN
